Points_0,Points_1,Points_2,Pressure_Coefficient
0.366983,0.53,-0.0231089,-0.0581309
0.363201,0.53,-0.0226722,-0.0495223
0.358833,0.53,-0.0221441,-0.0412276
0.354708,0.53,-0.0216203,-0.0331477
0.350809,0.53,-0.0211013,-0.0254107
0.347125,0.53,-0.0205879,-0.018102
0.343643,0.53,-0.0200817,-0.0130046
0.34035,0.53,-0.0195843,-0.0109908
0.337237,0.53,-0.0190956,-0.014999
0.334294,0.53,-0.0186115,-0.024738
0.331511,0.53,-0.0181224,-0.03814
0.328883,0.53,-0.0176144,-0.052758
0.326406,0.53,-0.0170723,-0.060733
0.324075,0.53,-0.0164829,-0.0556688
0.32189,0.53,-0.015836,-0.0348466
0.31985,0.53,-0.015125,0.0040498
0.317955,0.53,-0.0143475,0.0628795
0.316206,0.53,-0.0135045,0.138159
0.314602,0.53,-0.0126009,0.22514
0.313142,0.53,-0.0116453,0.319002
0.311822,0.53,-0.0106451,0.413353
0.310642,0.53,-0.00960922,0.504326
0.309595,0.53,-0.00854709,0.589368
0.308682,0.53,-0.00746569,0.666025
0.307899,0.53,-0.00637247,0.731649
0.307245,0.53,-0.00527475,0.783609
0.306721,0.53,-0.00417946,0.82017
0.306322,0.53,-0.00309526,0.83842
0.306045,0.53,-0.00203087,0.835918
0.305888,0.53,-0.000995739,0.815248
0.305837,0.53,0,0.778161
0.305888,0.53,0.000995729,0.722381
0.306045,0.53,0.00203086,0.648762
0.306321,0.53,0.00309526,0.55754
0.306721,0.53,0.00417946,0.453845
0.307245,0.53,0.00527473,0.339321
0.307899,0.53,0.00637245,0.217181
0.308682,0.53,0.00746567,0.0897709
0.309595,0.53,0.00854706,-0.042416
0.310642,0.53,0.0096092,-0.176067
0.311822,0.53,0.0106451,-0.313886
0.313142,0.53,0.0116452,-0.451168
0.314602,0.53,0.0126009,-0.583532
0.316206,0.53,0.0135045,-0.709723
0.317955,0.53,0.0143475,-0.826368
0.31985,0.53,0.015125,-0.927875
0.32189,0.53,0.015836,-1.0118
0.324075,0.53,0.016483,-1.07686
0.326406,0.53,0.0170723,-1.12249
0.328883,0.53,0.0176144,-1.1487
0.331511,0.53,0.0181224,-1.159
0.334294,0.53,0.0186115,-1.15422
0.337237,0.53,0.0190957,-1.1405
0.340351,0.53,0.0195843,-1.11856
0.343643,0.53,0.0200817,-1.09637
0.347125,0.53,0.0205879,-1.07521
0.350809,0.53,0.0211013,-1.05573
0.354708,0.53,0.0216203,-1.03954
0.358833,0.53,0.0221441,-1.02268
0.363201,0.53,0.0226722,-1.00371
0.366983,0.53,0.0231089,-0.985561
0.370813,0.53,0.0235325,-0.957999
0.374693,0.53,0.0239434,-0.914117
0.378627,0.53,0.0243421,-0.848405
0.382615,0.53,0.0247292,-0.765514
0.386662,0.53,0.0251052,-0.687616
0.387303,0.53,0.0251623,-0.676182
0.390768,0.53,0.0254706,-0.614531
0.394894,0.53,0.0258221,-0.567622
0.399021,0.53,0.0261588,-0.550692
0.40315,0.53,0.0264815,-0.542518
0.407279,0.53,0.0267908,-0.541445
0.411409,0.53,0.0270874,-0.542773
0.41554,0.53,0.027372,-0.556234
0.419672,0.53,0.0276451,-0.559672
0.423805,0.53,0.0279072,-0.56341
0.427938,0.53,0.0281588,-0.568983
0.432072,0.53,0.0284003,-0.573131
0.436206,0.53,0.0286319,-0.575951
0.440341,0.53,0.0288542,-0.578891
0.444476,0.53,0.0290673,-0.581228
0.448612,0.53,0.0292715,-0.583424
0.452748,0.53,0.0294672,-0.585192
0.456885,0.53,0.0296543,-0.586524
0.461022,0.53,0.0298332,-0.587956
0.465159,0.53,0.030004,-0.589445
0.469297,0.53,0.0301667,-0.591156
0.473435,0.53,0.0303215,-0.593115
0.477573,0.53,0.0304684,-0.595364
0.481712,0.53,0.0306074,-0.597855
0.48585,0.53,0.0307386,-0.600543
0.489989,0.53,0.030862,-0.603434
0.494129,0.53,0.0309775,-0.606512
0.498268,0.53,0.0310852,-0.609797
0.502408,0.53,0.0311851,-0.613225
0.506548,0.53,0.0312769,-0.61687
0.510688,0.53,0.0313609,-0.620673
0.514828,0.53,0.0314368,-0.624679
0.518968,0.53,0.0315045,-0.628853
0.523108,0.53,0.0315641,-0.633216
0.527249,0.53,0.0316154,-0.637718
0.53139,0.53,0.0316582,-0.642308
0.53553,0.53,0.0316925,-0.64693
0.539671,0.53,0.0317184,-0.651561
0.543812,0.53,0.0317357,-0.656181
0.547953,0.53,0.0317445,-0.661053
0.552094,0.53,0.0317447,-0.666145
0.556234,0.53,0.0317361,-0.671473
0.560375,0.53,0.0317184,-0.676959
0.564516,0.53,0.0316915,-0.682424
0.568657,0.53,0.0316551,-0.687675
0.572797,0.53,0.0316093,-0.692586
0.576938,0.53,0.0315545,-0.697173
0.581078,0.53,0.031491,-0.701584
0.585218,0.53,0.0314191,-0.706036
0.589359,0.53,0.0313387,-0.710734
0.593498,0.53,0.0312495,-0.715702
0.597638,0.53,0.0311513,-0.720828
0.601778,0.53,0.0310437,-0.725926
